"No.","Time","Source","Destination","Protocol","Length","Info"
"139","3.566442","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=113157 Ack=1 Win=17520 Len=1460"
"140","3.567324","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=114617 Ack=1 Win=17520 Len=892"
"141","3.660330","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=110237 Win=62780 Len=0"
"142","3.768417","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=113157 Win=62780 Len=0"
"143","3.840483","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=115509 Win=62780 Len=0"
"144","3.840697","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=115509 Ack=1 Win=17520 Len=1460"
"145","3.841410","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=116969 Ack=1 Win=17520 Len=1460"
"146","3.842307","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=118429 Ack=1 Win=17520 Len=1460"
"147","3.843230","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=119889 Ack=1 Win=17520 Len=1460"
"148","3.844008","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=121349 Ack=1 Win=17520 Len=1460"
"149","3.844820","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=122809 Ack=1 Win=17520 Len=892"
"150","3.936967","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=118429 Win=62780 Len=0"
"151","4.031145","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=121349 Win=62780 Len=0"
"152","4.107455","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=123701 Win=62780 Len=0"
"153","4.107686","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=123701 Ack=1 Win=17520 Len=1460"
"154","4.108476","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=125161 Ack=1 Win=17520 Len=1460"
"155","4.109329","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=126621 Ack=1 Win=17520 Len=1460"
"156","4.110217","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=128081 Ack=1 Win=17520 Len=1460"
"157","4.111334","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=129541 Ack=1 Win=17520 Len=1460"
"158","4.112209","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=131001 Ack=1 Win=17520 Len=892"
"159","4.205521","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=126621 Win=62780 Len=0"
"160","4.300300","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=129541 Win=62780 Len=0"
"161","4.379826","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=131893 Win=62780 Len=0"
"162","4.380034","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=131893 Ack=1 Win=17520 Len=1460"
"163","4.380741","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=133353 Ack=1 Win=17520 Len=1460"
"164","4.381618","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=134813 Ack=1 Win=17520 Len=1460"
"165","4.382478","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=136273 Ack=1 Win=17520 Len=1460"
"166","4.383659","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=137733 Ack=1 Win=17520 Len=1460"
"167","4.384548","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=139193 Ack=1 Win=17520 Len=892"
"168","4.476833","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=134813 Win=62780 Len=0"
